,year,station_id,month,day,date,delta_stage_max,index,delta_stage_max_predicted
0,1993,3019,4,111,1993-04-21,,3019,3.2438126
1,1993,3019,4,112,1993-04-22,,3019,3.6709023
2,1993,3019,4,113,1993-04-23,,3019,-24.958355
3,1993,3019,4,114,1993-04-24,,3019,5.5508766
4,1993,3019,4,115,1993-04-25,,3019,22.360085
5,1993,3019,4,116,1993-04-26,,3019,29.295319
6,1993,3019,4,117,1993-04-27,,3019,34.170536
7,1997,3019,4,111,1997-04-21,,3019,1.381897
8,1997,3019,4,112,1997-04-22,,3019,8.488209
9,1997,3019,4,113,1997-04-23,,3019,3.2846642
10,1997,3019,4,114,1997-04-24,,3019,15.914772
11,1997,3019,4,115,1997-04-25,,3019,19.25338
12,1997,3019,4,116,1997-04-26,,3019,28.667107
13,1997,3019,4,117,1997-04-27,,3019,57.003036
14,2001,3019,4,111,2001-04-21,,3019,-16.01651
15,2001,3019,4,112,2001-04-22,,3019,-3.119217
16,2001,3019,4,113,2001-04-23,,3019,-2.5676994
17,2001,3019,4,114,2001-04-24,,3019,18.839184
18,2001,3019,4,115,2001-04-25,,3019,13.855473
19,2001,3019,4,116,2001-04-26,,3019,7.177574
20,2001,3019,4,117,2001-04-27,,3019,0.15744019
21,2012,3019,4,112,2012-04-21,,3019,2.4778671
22,2012,3019,4,113,2012-04-22,,3019,1.7632332
23,2012,3019,4,114,2012-04-23,,3019,-3.5589714
24,2012,3019,4,115,2012-04-24,,3019,11.065773
25,2012,3019,4,116,2012-04-25,,3019,-17.784824
26,2012,3019,4,117,2012-04-26,,3019,24.060501
27,2012,3019,4,118,2012-04-27,,3019,29.34748
28,1993,3027,4,111,1993-04-21,,3027,13.6924515
29,1993,3027,4,112,1993-04-22,,3027,19.047089
30,1993,3027,4,113,1993-04-23,,3027,-38.565224
31,1993,3027,4,114,1993-04-24,,3027,11.910652
32,1993,3027,4,115,1993-04-25,,3027,31.690369
33,1993,3027,4,116,1993-04-26,,3027,49.26467
34,1993,3027,4,117,1993-04-27,,3027,44.156616
35,1997,3027,4,111,1997-04-21,,3027,8.68573
36,1997,3027,4,112,1997-04-22,,3027,4.302109
37,1997,3027,4,113,1997-04-23,,3027,-23.523926
38,1997,3027,4,114,1997-04-24,,3027,17.625977
39,1997,3027,4,115,1997-04-25,,3027,41.98484
40,1997,3027,4,116,1997-04-26,,3027,49.93387
41,1997,3027,4,117,1997-04-27,,3027,151.48273
42,2001,3027,4,111,2001-04-21,,3027,-8.01709
43,2001,3027,4,112,2001-04-22,,3027,13.904434
44,2001,3027,4,113,2001-04-23,,3027,-5.0822983
45,2001,3027,4,114,2001-04-24,,3027,5.6334076
46,2001,3027,4,115,2001-04-25,,3027,15.593376
47,2001,3027,4,116,2001-04-26,,3027,10.47142
48,2001,3027,4,117,2001-04-27,,3027,1.336647
49,2004,3027,4,112,2004-04-21,,3027,1.794281
50,2004,3027,4,113,2004-04-22,,3027,-1.9657135
51,2004,3027,4,114,2004-04-23,,3027,-0.08882141
52,2004,3027,4,115,2004-04-24,,3027,1.7770844
53,2004,3027,4,116,2004-04-25,,3027,13.400253
54,2004,3027,4,117,2004-04-26,,3027,-13.340439
55,2004,3027,4,118,2004-04-27,,3027,18.39624
56,2012,3027,4,112,2012-04-21,,3027,-24.067368
57,2012,3027,4,113,2012-04-22,,3027,15.868927
58,2012,3027,4,114,2012-04-23,,3027,11.524002
59,2012,3027,4,115,2012-04-24,,3027,12.301987
60,2012,3027,4,116,2012-04-25,,3027,-6.9360046
61,2012,3027,4,117,2012-04-26,,3027,39.865036
62,2012,3027,4,118,2012-04-27,,3027,56.65918
63,1997,3028,4,111,1997-04-21,,3028,6.412567
64,1997,3028,4,112,1997-04-22,,3028,3.72464
65,1997,3028,4,113,1997-04-23,,3028,12.53157
66,1997,3028,4,114,1997-04-24,,3028,3.5713043
67,1997,3028,4,115,1997-04-25,,3028,39.098328
68,1997,3028,4,116,1997-04-26,,3028,24.153961
69,1997,3028,4,117,1997-04-27,,3028,116.8208
70,2001,3028,4,111,2001-04-21,,3028,6.312317
71,2001,3028,4,112,2001-04-22,,3028,-1.7509766
72,2001,3028,4,113,2001-04-23,,3028,25.198334
73,2001,3028,4,114,2001-04-24,,3028,-2.3587341
74,2001,3028,4,115,2001-04-25,,3028,-0.18612671
75,2001,3028,4,116,2001-04-26,,3028,4.4601135
76,2001,3028,4,117,2001-04-27,,3028,9.57373
77,2004,3028,4,112,2004-04-21,,3028,7.865906
78,2004,3028,4,113,2004-04-22,,3028,2.778717
79,2004,3028,4,114,2004-04-23,,3028,9.086426
80,2004,3028,4,115,2004-04-24,,3028,-0.048919678
81,2004,3028,4,116,2004-04-25,,3028,-13.95282
82,2004,3028,4,117,2004-04-26,,3028,-6.6707153
83,2004,3028,4,118,2004-04-27,,3028,21.99582
84,2012,3028,4,112,2012-04-21,,3028,-0.7312622
85,2012,3028,4,113,2012-04-22,,3028,-4.434494
86,2012,3028,4,114,2012-04-23,,3028,22.445496
87,2012,3028,4,115,2012-04-24,,3028,11.766296
88,2012,3028,4,116,2012-04-25,,3028,16.66246
89,2012,3028,4,117,2012-04-26,,3028,36.131363
90,2012,3028,4,118,2012-04-27,,3028,24.022217
91,1993,3029,4,111,1993-04-21,,3029,2.9213715
92,1993,3029,4,112,1993-04-22,,3029,15.596886
93,1993,3029,4,113,1993-04-23,,3029,3.196045
94,1993,3029,4,114,1993-04-24,,3029,-5.3880386
95,1993,3029,4,115,1993-04-25,,3029,63.445755
96,1993,3029,4,116,1993-04-26,,3029,37.44345
97,1993,3029,4,117,1993-04-27,,3029,43.8416
98,1997,3029,4,111,1997-04-21,,3029,12.546051
99,1997,3029,4,112,1997-04-22,,3029,12.640854
100,1997,3029,4,113,1997-04-23,,3029,-3.9381409
101,1997,3029,4,114,1997-04-24,,3029,21.49984
102,1997,3029,4,115,1997-04-25,,3029,41.327522
103,1997,3029,4,116,1997-04-26,,3029,47.36685
104,1997,3029,4,117,1997-04-27,,3029,116.40811
105,2001,3029,4,111,2001-04-21,,3029,1.7761993
106,2001,3029,4,112,2001-04-22,,3029,-10.941116
107,2001,3029,4,113,2001-04-23,,3029,-7.783348
108,2001,3029,4,114,2001-04-24,,3029,9.82151
109,2001,3029,4,115,2001-04-25,,3029,-4.086258
110,2001,3029,4,116,2001-04-26,,3029,23.080841
111,2001,3029,4,117,2001-04-27,,3029,15.013351
112,2004,3029,4,112,2004-04-21,,3029,6.203003
113,2004,3029,4,113,2004-04-22,,3029,8.869156
114,2004,3029,4,114,2004-04-23,,3029,4.084259
115,2004,3029,4,115,2004-04-24,,3029,2.6381989
116,2004,3029,4,116,2004-04-25,,3029,7.7197876
117,2004,3029,4,117,2004-04-26,,3029,7.3789062
